TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold
1419,2,15,243,0.9898749255509232,0.9418604651162791,0.9985925404644617,0.9918367346938776,0.9662027833001988,0.9702265027903704,0.9801241587254059,0.9853253249976814,0.9708234294806625,"CNN(trained)+RF, V=5000",6
1418,3,15,243,0.9892793329362716,0.9418604651162791,0.9978888106966924,0.9878048780487805,0.9642857142857143,0.9698746379064858,0.9789893883271599,0.9945106350479245,0.9796348628573504,"CNN(trained)+sent+RF, V=5000",6
1416,5,14,244,0.98868374032162,0.9457364341085271,0.9964813511611541,0.9799196787148594,0.9625246548323471,0.9711088926348406,0.9779301632632447,0.9905091948567719,0.9750157720799941,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",6
1417,4,27,231,0.9815366289458011,0.8953488372093024,0.9971850809289233,0.9829787234042553,0.9371196754563895,0.9462669590691128,0.963149715564146,0.9816321075342729,0.9641998614808774,TF-IDF + logistic regression [reference],6
1406,15,90,168,0.9374627754615843,0.6511627906976745,0.9894440534834623,0.9180327868852459,0.761904761904762,0.8203034220905684,0.8629544378601629,0.9291660529488459,0.8278892538774504,"CNN(untrained)+RF, V=100 [E1 as published]",7
1408,13,79,179,0.9452054794520548,0.6937984496124031,0.9908515130190007,0.9322916666666666,0.7955555555555556,0.8423249813157019,0.8819593458658108,0.9342135410699964,0.8589312815906119,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",7
1406,15,58,200,0.9565217391304348,0.7751937984496124,0.9894440534834623,0.9302325581395349,0.8456659619450317,0.8823189259665374,0.9101813345253755,0.9382272556175638,0.8836262398280893,"CNN+BiLSTM(trained)+sent+RF, V=100",7
1415,6,17,241,0.9863013698630136,0.9341085271317829,0.995777621393385,0.9757085020242915,0.9544554455445545,0.964943074262584,0.9731968780474263,0.9822403700854839,0.9697020462113488,"CNN(trained)+RF, V=5000",7
1417,4,17,241,0.9874925550923168,0.9341085271317829,0.9971850809289233,0.9836734693877551,0.9582504970178926,0.9656468040303532,0.9754474901902073,0.983979237244216,0.9701977913249256,"CNN(trained)+sent+RF, V=5000",7
1416,5,18,240,0.9863013698630136,0.9302325581395349,0.9964813511611541,0.9795918367346939,0.9542743538767395,0.9633569546503444,0.9731091559226079,0.980322842850051,0.9665093576827102,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",7
