TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
104,0,12,4,0.9,0.25,1.0,1.0,0.4,0.625,0.6727272727272727,0.8734975961538463,0.6264148522224917,RF on clinical features only [baseline],1,complete-case,@tuned
104,0,9,7,0.925,0.4375,1.0,1.0,0.6086956521739131,0.71875,0.7836104988980164,0.848858173076923,0.6454863664794315,CNN(untrained)+clinical+RF,1,complete-case,@0.5
104,0,11,5,0.9083333333333333,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7129810828440966,0.848858173076923,0.6454863664794315,CNN(untrained)+clinical+RF,1,complete-case,@tuned
103,1,9,7,0.9166666666666666,0.4375,0.9903846153846154,0.875,0.5833333333333334,0.7139423076923077,0.7685185185185185,0.8347355769230769,0.6512638172794423,CNN+BiLSTM(untrained)+clinical+RF [as published],1,complete-case,@0.5
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.8347355769230769,0.6512638172794423,CNN+BiLSTM(untrained)+clinical+RF [as published],1,complete-case,@tuned
104,0,9,7,0.925,0.4375,1.0,1.0,0.6086956521739131,0.71875,0.7836104988980164,0.8515625,0.6875427181525264,CNN(trained)+clinical+RF,1,complete-case,@0.5
104,0,11,5,0.9083333333333333,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7129810828440966,0.8515625,0.6875427181525264,CNN(trained)+clinical+RF,1,complete-case,@tuned
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.8437499999999999,0.6355612872824866,CNN+BiLSTM(trained)+clinical+RF [proposed],1,complete-case,@0.5
104,0,10,6,0.9166666666666666,0.375,1.0,1.0,0.5454545454545454,0.6875,0.749791492910759,0.8437499999999999,0.6355612872824866,CNN+BiLSTM(trained)+clinical+RF [proposed],1,complete-case,@tuned
103,0,15,2,0.875,0.11764705882352941,1.0,1.0,0.21052631578947367,0.5588235294117647,0.5713265063110264,0.9057681324957167,0.619082474392981,RF on clinical features only [baseline],2,complete-case,@0.5
103,0,16,1,0.8666666666666667,0.058823529411764705,1.0,1.0,0.1111111111111111,0.5294117647058824,0.5195195195195196,0.9057681324957167,0.619082474392981,RF on clinical features only [baseline],2,complete-case,@tuned
103,0,15,2,0.875,0.11764705882352941,1.0,1.0,0.21052631578947367,0.5588235294117647,0.5713265063110264,0.8597944031981725,0.5568407925168831,CNN(untrained)+clinical+RF,2,complete-case,@0.5
103,0,16,1,0.8666666666666667,0.058823529411764705,1.0,1.0,0.1111111111111111,0.5294117647058824,0.5195195195195196,0.8597944031981725,0.5568407925168831,CNN(untrained)+clinical+RF,2,complete-case,@tuned
103,0,15,2,0.875,0.11764705882352941,1.0,1.0,0.21052631578947367,0.5588235294117647,0.5713265063110264,0.8723586521987434,0.5564786968079118,CNN+BiLSTM(untrained)+clinical+RF [as published],2,complete-case,@0.5
103,0,15,2,0.875,0.11764705882352941,1.0,1.0,0.21052631578947367,0.5588235294117647,0.5713265063110264,0.8723586521987434,0.5564786968079118,CNN+BiLSTM(untrained)+clinical+RF [as published],2,complete-case,@tuned
103,0,14,3,0.8833333333333333,0.17647058823529413,1.0,1.0,0.3,0.5882352941176471,0.6181818181818182,0.9017704169046259,0.6789865671316525,CNN(trained)+clinical+RF,2,complete-case,@0.5
103,0,14,3,0.8833333333333333,0.17647058823529413,1.0,1.0,0.3,0.5882352941176471,0.6181818181818182,0.9017704169046259,0.6789865671316525,CNN(trained)+clinical+RF,2,complete-case,@tuned
103,0,14,3,0.8833333333333333,0.17647058823529413,1.0,1.0,0.3,0.5882352941176471,0.6181818181818182,0.8954882924043404,0.6059335178428263,CNN+BiLSTM(trained)+clinical+RF [proposed],2,complete-case,@0.5
